Ajay_Gupta.xml,36,9
Alok_Gupta.xml,57,2
Barry_Wilkinson.xml,28,1
Bin_Li.xml,181,60
Bin_Yu.xml,105,17
Bin_Zhu.xml,46,15
Bing_Liu.xml,182,18
Bo_Liu.xml,124,47
Bob_Johnson.xml,11,7
Charles_Smith.xml,7,4
Cheng_Chang.xml,27,5
Daniel_Massey.xml,43,2
David_Brown.xml,61,25
David_C._Wilson.xml,65,5
David_Cooper.xml,18,7
David_E._Goldberg.xml,231,3
David_Jensen.xml,53,4
David_Levine.xml,48,18
David_Nelson.xml,20,11
Eric_Martin.xml,85,5
F._Wang.xml,19,17
Fan_Wang.xml,56,14
Fei_Su.xml,37,4
Feng_Liu.xml,149,32
Feng_Pan.xml,73,15
Frank_Mueller.xml,101,3
Gang_Chen.xml,177,46
Gang_Luo.xml,47,9
Hao_Wang.xml,178,48
Hiroshi_Tanaka.xml,40,7
Hong_Xie.xml,12,7
Hui_Fang.xml,42,8
Hui_Yu.xml,32,21
J._Guo.xml,13,10
J._Yin.xml,18,7
Jeffrey_Parsons.xml,31,2
Ji_Zhang.xml,64,16
Jianping_Wang.xml,37,5
Jie_Tang.xml,66,6
Jie_Yu.xml,32,9
Jim_Gray.xml,192,6
Jing_Zhang.xml,230,84
John_Collins.xml,27,7
John_F._McDonald.xml,34,2
John_Hale.xml,39,4
Jose_M._Garcia.xml,83,2
Juan_Carlos_Lopez.xml,36,1
Kai_Tang.xml,48,3
Kai_Zhang.xml,66,24
Ke_Chen.xml,106,15
Keith_Edwards.xml,23,4
Koichi_Furukawa.xml,77,2
Kuo_Zhang.xml,16,4
Lei_Chen.xml,196,40
Lei_Fang.xml,17,7
Lei_Jin.xml,16,6
Lei_Wang.xml,305,109
Li_Shen.xml,68,9
Lu_Liu.xml,58,17
M._Rahman.xml,16,8
Manuel_Silva.xml,74,4
Mark_Davis.xml,24,6
Michael_Lang.xml,17,4
Michael_Siegel.xml,54,6
Michael_Smith.xml,33,19
Michael_Wagner.xml,71,14
Ning_Zhang.xml,125,31
Paul_Brown.xml,26,7
Paul_Wang.xml,16,7
Peter_Phillips.xml,13,3
Philip_J._Smith.xml,33,3
Ping_Zhou.xml,36,18
Qiang_shen.xml,70,3
R._Balasubramanian.xml,20,6
R._Cole.xml,22,5
R._Ramesh.xml,46,9
Rafael_Alonso.xml,40,2
Rakesh_Kumar.xml,96,10
Richard_Taylor.xml,35,16
Robert_Allen.xml,24,9
Robert_Schreiber.xml,58,1
S._Huang.xml,15,14
Sanjay_Jain.xml,217,5
Satoshi_Kobayashi.xml,38,4
Shu_lin.xml,76,2
Steve_King.xml,31,4
Thomas_D._Taylor.xml,4,3
Thomas_Hermann.xml,44,8
Thomas_Meyer.xml,31,7
Thomas_Tran.xml,15,2
Thomas_Wolf.xml,33,8
Thomas_Zimmermann.xml,67,2
Wei_Xu.xml,152,47
William_H._Hsu.xml,34,2
X._Zhang.xml,62,40
Xiaoming_Wang.xml,37,13
Xiaoyan_Li.xml,33,6
Yan_Tang.xml,30,9
Yang_Wang.xml,193,53
Yang_Yu.xml,71,19
Yi_Deng.xml,89,9
Yong_Chen.xml,84,25
Yoshio_Tanaka.xml,43,2
Young_Park.xml,21,9
Yu_Zhang.xml,235,72
Yue_Zhao.xml,40,8
Yun_Wang.xml,46,19
Z._Wang.xml,47,38
